# dvcd|name
ACD_SUBJC_OPEN_DEPT_CD|학술교과개설부서코드
ACD|학술
ACEPT_GEND_CD|수용성별코드
ACEPT_HDCT|수용인원수
ACEPT_PSBL_PPNU|수용가능인원
ACEPT|수용
ACHT_DVCD|냉난방구분코드
ACHT_ROOM_CD|냉난방호실코드
ACHT|냉난방
ACHV_CONV_VAL|달성환산값
ACHV_DVCD|달성구분코드
ACHV_RT|달성율
ACHV_VAL_CHAR|달성값문자
ACHV|달성
ACH_ARTC_CD|업적항목코드
ACH_DVCD|업적구분코드
ACH_EVL_ARTC_CD|업적평가항목코드
ACH_EVL_YN|업적평가여부
ACH_EVL_YY|업적평가연도
ACH_MNGT_NO|업적관리번호
ACH_NM_ARTC|업적명항목
ACH_NM|업적명
ACH_NO|업적번호
ACH_PNT|업적점수
ACH_SEQ|업적순번
ACH_SMR_ARTC|업적학기항목
ACH_SMR|업적학기
ACH_STAF_NO|업적교직원번호
ACH_TARGT_DVCD|업적대상구분코드
ACH_TEXT|업적내용
ACH_TOTL_PNT|업적총점수
ACH_YEAR|업적년도
ACH_YRMM|업적연월
ACH_YY_ARTC|업적연도항목
ACH_YY|업적연도
ACH|업적
ACJN_CD_ARTC|학술지코드항목
ACJN_CD|학술지코드
ACJN_DTL_GRD|학술지상세등급
ACJN_DVCD|학술지구분코드
ACJN_EVL_PNT|학술지평가점수
ACJN_NM_ARTC|학술지명항목
ACJN_NM|학술지명
ACJN_SCLE_ARTC|학술지규모항목
ACJN_SCLE|학술지규모
ACJN_SEQ|학술지순번
ACJN|학술지
ACLE_DSTB_RATE|성취도분포비율
ACLE_PHASE|성취도단계
ACLE|성취도
ACMTL|누계
ACNTPAYAB_CREAT_YN|미지급금생성여부
ACNTPAYAB_INPT_YN|미지급금입력여부
ACNTPAYAB|미지급금
ACNT_AMT|회계금액
ACNT_APPL_DVCD|회계신청구분코드
ACNT_BEGIN_DT|회계시작일시
ACNT_DLNG_DT|회계처리일시
ACNT_DSTNCT_YN|회계구분여부
ACNT_DVCD_NM|회계구분코드명
ACNT_DVCD|회계구분코드
ACNT_END_DT|회계종료일시
ACNT_EXCN_YN|회계집행여부
ACNT_INNO_DVCD|회계수지구분코드
ACNT_MONTH_DVCD|회계월구분코드
ACNT_PGSS_STTUS_DVCD|회계진행상태구분코드
ACNT_PRCR|회계처리자
ACNT_UNIT_DVCD|회계단위구분코드
ACNT_UNIT|회계단위
ACNT_YM|회계년월
ACNT_YY|회계연도
ACNT|회계
ACPR_NO|수취자번호
ACPR|수취자
ACPTR_ID|인수자ID
ACPTR|인수자
ACQU_NO|수서번호
ACQU|수서
ACQ_AMT|취득금액
ACQ_COLG_NM|취득단과대학명
ACQ_COLG|취득단과대학
ACQ_DEGR_DVCD|취득학위구분코드
